Transaction_ID,Customer_ID,Amount,Card_Type,Merchant_Category,Transaction_Status,Is_Fraud
1001,C001,2500,Visa,Shopping,Success,0
1002,C002,1200,MasterCard,Food,Success,0
1003,C003,15000,Visa,Travel,Failed,1
1004,C004,3200,RuPay,Shopping,Success,0
1005,C001,5000,Visa,Electronics,Success,0
1006,C005,20000,MasterCard,Travel,Success,1
1007,C006,700,RuPay,Food,Failed,0
1008,C007,8500,Visa,Shopping,Success,0
1009,C008,6000,MasterCard,Electronics,Success,0
1010,C009,18000,Visa,Travel,Success,1
1011,C010,950,RuPay,Food,Success,0
1012,C002,4200,MasterCard,Shopping,Success,0
1013,C003,7800,Visa,Electronics,Success,0
1014,C011,25000,MasterCard,Travel,Failed,1
1015,C012,1800,RuPay,Food,Success,0
1016,C013,6500,Visa,Shopping,Success,0
1017,C014,3400,MasterCard,Electronics,Success,0
1018,C015,11000,Visa,Travel,Success,1
1019,C016,900,RuPay,Food,Success,0
1020,C017,7200,Visa,Shopping,Success,0
1021,C018,13500,MasterCard,Travel,Success,1
1022,C019,2800,RuPay,Shopping,Success,0
1023,C020,5400,Visa,Electronics,Success,0
1024,C021,9900,MasterCard,Travel,Failed,1
1025,C022,1500,RuPay,Food,Success,0
1026,C023,8800,Visa,Shopping,Success,0
1027,C024,4200,MasterCard,Electronics,Success,0
1028,C025,17500,Visa,Travel,Success,1
1029,C026,1050,RuPay,Food,Success,0
1030,C027,6100,Visa,Shopping,Success,0
